标题,卖点,总价,单价,户型,楼层,共有楼层数,装修,朝向,建造时间,面积,小区,区域,所属区,梯户比例,是否有电梯,房屋属性,详情页
中贸城 全新装修3房 从未入住 随时看房,此房满五唯一 小区醉便宜一套 装修未入住 业主诚心卖,66.8,7782,3室2厅,高楼层,32,精装,南,2008,85.84,明城公寓,泉塘,长沙县,五梯二十四户,有,商品房,https://cs.lianjia.com/ershoufang/104108594452.html
品质万科城，自住装修、中高楼层、视野采光OK。,品质万科城，自住装修、品牌家私电器，业主诚售。,116,13431,3室2厅,中楼层,34,精装,南,2014,86.37,万科城二期B区,福元西路,开福,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108592424.html
金茂梅溪湖二期2+1户型清水毛坯，175万出售满五唯一,金茂梅溪湖二期2+1户型清水毛坯，175万出售满五唯一,179.8,18782,3室2厅,中楼层,32,其他,南,2014,95.73,金茂梅溪湖,梅溪湖南岸,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108606772.html
满五唯一，通透格局，楼层好，视野好，采光充足,满五唯一，通透格局，楼层好，视野好，采光充足,98,8639,3室2厅,中楼层,33,精装,南,2016,113.45,佳美紫郡,泉塘,长沙县,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108600940.html
"马厂地铁口2号口50米,交通便利,房子通透,采光好。","房子位于马厂地铁口2号口50米,交通便利,房子通透,采光好。",156,9937,4室2厅,中楼层,11,简装,南 北,2003,156.99,顺天北国风光,开福区政府,开福,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108632583.html
三景华御精装三房，房东自住  保养好满五唯一中间楼层,此房满五唯一，省两个点个税 中间楼层 全景落地窗 采光好,67,8636,3室1厅,高楼层,33,精装,南,2013,77.59,三景华御,泉塘,长沙县,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108612582.html
南北通透户型 中高楼层  精装拎包入住，随时看房,南北通透户型 中高楼层 采光视野很好，精装拎包入住，随时看房,140,10359,3室2厅,中楼层,12,精装,南 北,2007,135.15,锦湘国际星城二期,尚东,雨花,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108617331.html
树木岭 城轨地铁口 不临街 采光好 小区中间,树木岭 城轨地铁口 不临街 采光好 小区中间,158,12184,3室2厅,中楼层,33,精装,南,2013,129.68,新城新世界二期,高桥,雨花,三梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108629373.html
河景大盘，业主自住装修、视野很好、业主诚心卖,河景大盘，业主自住装修、视野很好、业主诚心卖,168,12788,3室2厅,高楼层,32,精装,南 北,2016,131.38,辉煌国际城,汽车东站,芙蓉,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108621893.html
地铁口 满五唯一三房二卫 稀有产品,地铁口 满五唯一三房二 卫稀有产品,126,13873,3室2厅,中楼层,22,精装,南,2014,90.83,万科城三期,福元西路,开福,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108639675.html
二环内 单价五字头 大三房 总价低 近地铁 户型周正,总价低大三房 格局好 采光好 位置好 近地铁,60.8,5158,3室1厅,高楼层,4,简装,南,0,117.89,白云商住楼,赤岗冲,雨花,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108608446.html
南郊公园电梯小洋房中间楼层板楼满五唯一价格合适,楼层佳，视野无遮挡，可看湘江与南郊公园，满五唯一，洋房,118,10679,3室2厅,中楼层,9,精装,南,0,110.5,湘江锦绣,南郊公园,天心,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108599320.html
长沙大道 武广片区 精装三房 园林小区适合居家,满五唯一，全新精装未住，安静居家，次新小区适合居家,138,11484,3室2厅,低楼层,33,精装,南 北,2016,120.17,阳光城尚东湾,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108631269.html
人人乐商圈  花园洋房 低密度 舒适度高 适合居家,此房满五唯一，户型格局好，自住装修，有车位，交通便利，,92,8100,3室2厅,低楼层,11,精装,南,2010,113.59,长房西郡,河西人人乐,岳麓,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108600183.html
满五唯一 采光好 对着小区里面 安静,满五唯一 采光好 对着小区里面 安静,127,12740,3室2厅,高楼层,34,简装,西南,2014,99.69,万科魅力之城,武广新城,雨花,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108639803.html
南北对流大户型，清水毛坯，诚心出售，随时看房,南北对流大户型，清水毛坯，诚心出售，随时看房,150,11217,3室2厅,高楼层,26,毛坯,南,2013,133.73,鑫天御景湾二期,喜盈门,雨花,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108628062.html
洋湖品质 央企大盘     精装两房  次新小区  诚心出售,可以拎包入住，中间楼层，房东诚心出售,84.5,9758,2室2厅,低楼层,33,精装,东南,0,86.6,中海国际社区四期,含浦,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108631200.html
老罗推房，地铁口全新未入住4房，密码看房,此房满五唯一，地铁口.业主装修.保养很好.现代简约风格,122,10538,3室2厅,高楼层,34,精装,南 北,2015,115.78,时代倾城,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108618929.html
地铁口，中间楼层板楼，南北通采光通风好,地铁口，中间楼层板楼，南北通采光通风好,130,10264,5室2厅,低楼层,33,毛坯,南,2012,126.66,勤诚达新界,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108650857.html
楼层好，边户，满五唯一，环境好，交通便利,此房满五唯一，业主诚心出售，交通便利，梅溪湖博才,165,12198,4室2厅,中楼层,31,毛坯,南,2013,135.27,天悦国际,枫林三路,岳麓,一梯四户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108650748.html
免个税 诚心出售 中间楼层 拎包入住,此房满五唯一，业主自住精装修，枫树山大桥,186,13435,3室2厅,中楼层,18,精装,南,2014,138.45,茂华禧都会,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108652088.html
此房诚心出手，产权清晰，看房方便，楼层好，南北通风,此房诚心出手，产权清晰，看房方便，楼层好，南北通风好,120,9921,3室1厅,高楼层,32,毛坯,南,2016,120.96,珠江东方明珠,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108590624.html
五矿央企，自住精装两房，年轻人都喜欢的风格,五矿物业，高绿化，舒适，皇冠楼层精装两房,77,9913,2室1厅,中楼层,18,精装,南,0,77.68,五矿紫湖香醍,暮云,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108620585.html
满五唯一，楼栋采光好，电梯口近车库停车方便,满五唯一，户型周正，位置好户型周正20多万的装修，采光通风好..,103.8,9159,3室2厅,高楼层,34,精装,东南 南,2012,113.34,三一街区,万家丽北,长沙县,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108636298.html
正南朝向，满五唯一，居家精装，拎包入住。,正南朝向，满五唯一，居家精装，拎包入住。,52.8,5782,3室2厅,高楼层,18,精装,南 北,0,91.33,鑫天山城明珠,暮云,天心,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108656090.html
不临马路 小高层 南北对流 双阳台 读书近,万家丽商圈 ，纯板楼 ， 小高层 ，主卧和客厅全朝南,169.8,13692,3室2厅,中楼层,11,精装,南 北,2007,124.02,长房东郡,德政园,芙蓉,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108654563.html
中航城 3室2厅 东南 南,链家网真房源，更多房源信息请联系经纪人,75.8,9391,3室2厅,高楼层,34,毛坯,东南 南,0,80.72,中航城,万家丽南路,雨花,三梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108636654.html
湘江世纪城鸿江苑精装三房通透户型带入户诚心出售,房子精装修，通透户型，带双指标等到明年就有了,128,12327,3室2厅,低楼层,33,精装,南 北,2008,103.84,世纪城鸿江苑,湘江世纪城,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108619686.html
洋湖湿地公园景观房，非顶楼，清水毛坯,洋湖湿地公园景观房，视野好，格局周正，清水毛坯,90,10249,2室2厅,高楼层,34,毛坯,南,2013,87.82,橡树湾小区,含浦,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108648017.html
时代倾城精装，朝南中间楼层采光好，看房方便急卖,自住精装 地铁口 降价诚售 带独立院子 配套设施齐全,82,9669,2室2厅,中楼层,34,精装,南,2015,84.81,时代倾城,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108641430.html
正南朝向，满五唯一，居家精装，拎包入住。,正南朝向，满五唯一，居家精装，拎包入住。,52.8,5782,3室2厅,高楼层,18,精装,南 北,0,91.33,鑫天山城明珠,暮云,天心,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108656090.html
松雅湖旁 吾悦天虹广场 正地铁口复式三房 拎包入住,闲置房产出售，楼层好，采光好，户型方正，配套成熟,120.8,11346,3室2厅,低楼层,22,精装,南,2010,106.47,恒基凯旋门,开元路,长沙县,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108607708.html
沙湾公园旁 毛坯大三房 单价低位置好 近地铁随时看房,"地理位置好，交通便利，四周配套成熟,近沙湾公园",118,7561,3室1厅,中楼层,29,毛坯,南,0,156.08,白沙湾嘉园,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108623340.html
谷山旁 四房 南北通透 中高楼 s一个车位,此房南北朝向户型好，得房率高楼间距宽采光不错，比较实惠,92,6564,4室1厅,中楼层,32,毛坯,南 北,0,140.16,金富星城,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108609945.html
怡海星城 2室1厅 南,链家网真房源，更多房源信息请联系经纪人,61,6928,2室1厅,中楼层,21,精装,南,2014,88.05,怡海星城,暮云,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108594879.html
精装修南北通透小三房，采光无遮挡，拎包入住。,视野开阔，南北通透，拎包入住，采光无遮挡,118,13161,3室2厅,低楼层,30,精装,南 北,2012,89.66,万国城三期,福元西路,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108633235.html
四号线地铁口精致三房绿化好。。,世界500强绿地地产打造的人车分流小区，自带幼儿园，绿化好,135,14289,3室2厅,高楼层,35,精装,南,2013,94.48,绿地中央广场,观沙岭,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108611409.html
德思勤 正地铁口通透三房 主卧带阳台 总价低,通透户型，中间楼层，采光好，视野好,95,11048,3室2厅,低楼层,27,精装,南,2014,85.99,湘府十城,汽车南站,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108596299.html
房子南北通透采光好，户型周正，配套齐全，绿化好,满五唯一精装南北三房 ，产权清晰，业主诚心出售,72,7662,3室2厅,高楼层,32,精装,南 北,2010,93.98,中国铁建国际城,泉塘,长沙县,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108584155.html
金星北 奥特莱斯砂之船 润和又一城 朝南三房 房东诚售,满五不唯一，有个税，中间楼层，视线好阳光无遮挡，房东诚心出售,85.8,9094,3室2厅,低楼层,34,毛坯,南,0,94.35,润和又一城,金星北,望城,一梯四户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108619034.html
此房满五唯一  户型周正不缺角,此房满五唯一  户型周正不缺角,61.8,6834,2室2厅,中楼层,18,简装,南,0,90.44,世景华庭,万家丽北,长沙县,一梯十二户,有,商品房,https://cs.lianjia.com/ershoufang/104108617775.html
南北双向阳台 有入户花园 ，户型周正，,子满五不唯一，南北向 清水毛坯 东雅大同瑞致 小区人车分了流,174.5,9248,5室2厅,中楼层,32,毛坯,南,0,188.7,盛隆佳园,汽车东站,芙蓉,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108602713.html
新城新世界三期 3室1厅 南 北,链家网真房源，更多房源信息请联系经纪人,128,13474,3室1厅,低楼层,33,其他,南 北,0,95,新城新世界三期,高桥,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108601347.html
四号线地铁口 师大附属滨江  满五唯一 装修保养的很好,房子满五唯一 师大附属滨江  4号线地铁口 装修保养的很好,129,9991,4室1厅,中楼层,33,精装,南 北,2006,129.12,星蓝湾,滨江新城,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108589308.html
南北对流 精品房源  14年小区 等你入住,三房精空  南北对流  现代化风格   拎包入住,122,11593,3室1厅,低楼层,34,精装,南 北,2011,105.24,鑫科明珠,马王堆,芙蓉,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108630036.html
诺亚山林墅区电梯洋房，精装大三房,1南北通透双阳台，采光很好，装修保养9成新，当初装修花了..j..,115,9234,3室2厅,中楼层,18,精装,南 北,2010,124.54,鹏基诺亚山林,开元路,长沙县,一梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108620307.html
经典通透三房室，前后双阳台，好楼层,经典通透三房室，前后双阳台，好楼层，,102,11448,3室1厅,高楼层,11,简装,南,2013,89.1,保利麓谷林语E区,麓谷西,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108615731.html
房东诚心出售 看房方便 安静舒适,板楼采光好，视野宽阔。业主诚心出售，看房方便。,112,12531,3室2厅,高楼层,11,精装,南,2013,89.38,万科金域华府,武广新城,雨花,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108610817.html
地铁口 南北通透小三房 山水湾纯板楼 户型周正,地铁口 南北通透小三房 山水湾纯板楼 户型周正,70.7,7944,3室2厅,低楼层,6,精装,南 北,2011,89,山水湾,万家丽北,长沙县,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104108634045.html
汽车南站商圈，省电力公司单位房，绿化高，环境优美,省电力公司单位房，绿化高，环境优美，适合居家,80,9116,2室2厅,低楼层,18,毛坯,南 北,2010,87.76,颐和佳园,汽车南站,雨花,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108631715.html
德思勤商圈 精装三房钥匙在店随时看房  业主急售,房子是满五唯一的，业主产权证在手，中间楼层精装自住 保存好,120.8,10755,3室2厅,中楼层,18,精装,东南,2012,112.33,嘉福长安郡,德思勤,雨花,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108607987.html
麓谷尖山湖 天麓尚层居家三房 诚心出售,朝南户型，公摊小，中间楼层，视野好，房东诚心出售,105,10601,3室2厅,高楼层,32,精装,南,0,99.05,天麓尚层,雷锋大道,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108653559.html
北辰三角洲旁 精装大三房 业主诚心出售 随时可看,北辰三角洲旁 精装大三房 业主诚心出售 随时可看,137,11682,3室2厅,中楼层,10,精装,南,2001,117.28,明珠苑,北辰三角洲,开福,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108600141.html
南北格局 东边户 沙湾公园 双地铁 高铁南站 保利天虹,此房南北格局，东边大四房，整体得房高，业主诚心..,202.8,16678,4室2厅,高楼层,34,精装,南,2017,121.6,半山壹号,武广新城,雨花,一梯四户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108614945.html
丽发新城 2室2厅 南,链家网真房源，更多房源信息请联系经纪人,79,9046,2室2厅,中楼层,22,精装,南,0,87.34,丽发新城,跳马,雨花,两梯五户,有,商品房,https://cs.lianjia.com/ershoufang/104108620701.html
满五唯一    自住装修   次新小区 带麓谷中小,房子满五唯一， 自住装修   交通方便，购房成本低，装修好,93,9834,3室2厅,低楼层,34,精装,南,2015,94.57,高盛华成,枫林三路,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108654503.html
房东诚心出售，通透小三房，满五唯一,树木岭 城轨地铁口 新城新世界三房 通透小三房 全天采光,110,12310,3室2厅,低楼层,18,其他,南,2013,89.36,新城新世界一期,高桥,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108593667.html
好房急售   中间楼层 自住装修 采光通风好,"此房子户型格局好，洋湖湿地公园，

视野开阔，配套好",103.8,11081,3室2厅,中楼层,31,精装,东南 南,2013,93.68,中海国际社区三期,含浦,岳麓,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108585431.html
主卧朝南 正地铁口三房 房东急售 看房随时,此房近地铁口，视野开阔，业主诚意出售，产权在手，随时可看房,138,12414,3室2厅,低楼层,32,精装,南,0,111.17,恒大绿洲,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108632838.html
急售急售 市政府 次新小区 洋房东边户 清水毛坯,急售急售 市政府 次新小区 洋房东边户 清水毛坯,175,14608,3室2厅,高楼层,5,毛坯,南,0,119.8,奥克斯缔壹城,雷锋大道,岳麓,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108627799.html
稀有毛坯房  六号线正地铁口 旁边人人乐广场 中间楼层,此房满四，楼层好，采光充足，配套设施齐全，交通便利，毛坯房,145,9959,3室2厅,中楼层,16,毛坯,南 北,2008,145.61,未来城,河西人人乐,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108633654.html
次新小区 业主诚心出售 户型周正 看房方便,次新小区 业主诚心出售 户型周正 看房方便,84,11855,2室1厅,低楼层,27,精装,东南,2014,70.86,芒果雅苑,赤岗冲,雨花,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104108647080.html
此房满五唯一，户型周正，楼层好，价格合适，业主诚心,此房满五唯一，户型周正，楼层好，价格合适，业主诚心。,90.8,10572,2室2厅,中楼层,31,其他,南 北,2008,85.89,童话里,新开铺,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108625086.html
精装修 急售 急售 腾资格 市政府次新小区 满五唯一,居家精装修 急售 急售 腾资格 市政府次新小区 满五唯一,148.8,11427,3室2厅,中楼层,33,精装,南,2016,130.22,奥克斯缔壹城,雷锋大道,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108628204.html
时代二期3+1户型 满五唯一 中高楼层 诚意出售随时看房,时代二期3+1户型 满五唯一 中高楼层 诚意出售随时看房,106.8,10445,3室1厅,中楼层,35,简装,南 北,2014,102.25,时代倾城,金星北,望城,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108658998.html
双湾国际 3室2厅 南,链家网真房源，更多房源信息请联系经纪人,170,10518,3室2厅,低楼层,32,毛坯,南,2014,161.63,双湾国际,金霞,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104107296586.html
经典复式楼！带露台和阳台，视野开阔，大空间住美滋滋,房子的装修保持还可以，楼层好，采光和通风效果也很不错,103.8,6185,5室2厅,高楼层,6,精装,南 北,2007,167.84,景湾小区东区,喜盈门,雨花,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104107481057.html
顶层复式，户型通透 视野开阔 交通便利 小区环境好,顶层复式，户型通透 视野开阔 交通便利 小区环境好,198,11448,5室2厅,中楼层,26,精装,南 北,2008,172.97,万国城MOMA一期,福元西路,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108329736.html
带车位两个！精装大三房，南北双阳台！视野好！,精装大三房，南北双阳台！视野好！采光好！单价低,110,6940,3室2厅,高楼层,28,精装,南,0,158.51,兴隆景苑,德思勤,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104107195998.html
和顺洋湖壹号 清水毛胚四房 适合宜居 价格d,和顺洋湖壹号 清水毛胚四房 适合宜居 价格d,178,12546,4室2厅,低楼层,33,毛坯,南 北,2015,141.88,和顺洋湖壹号,洋湖垸,岳麓,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108204266.html
毛坯朝南三房  满五唯一   看房方便,楼层采光很好  三房朝南   可在家欣赏沙湾公园,158,13387,3室2厅,高楼层,33,毛坯,南 北,2012,118.03,中城丽景香山,武广新城,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108275105.html
洋湖湿地公园/洋湖壹号/170平米5房大平层/精装修,房子是南北朝向，中间楼层 ，洋湖湿地公园旁边，采光好，无遮挡,278,16309,5室2厅,中楼层,29,精装,南,2015,170.46,和顺洋湖壹号,洋湖垸,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108543472.html
房子户型通透，纯毛坯，看湿地公园，视野开阔，无遮挡,房子户型通透，纯毛坯，看湿地公园，视野开阔，无遮挡，诚心..,248,14580,5室2厅,中楼层,29,毛坯,南 北,2015,170.1,和顺洋湖壹号,洋湖垸,岳麓,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104107813479.html
两梯三户，双阳台，周正三房，难得的清水毛坯,双阳台，周正三房，难得的清水毛坯，,100,8161,3室2厅,中楼层,27,毛坯,南,2011,122.54,美利新世界,广电,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104107121125.html
中间楼层，南北通透户型，视野好，业主诚心,中间楼层，南北通透户型，视野好，户型周正，业主诚心,165,13207,4室2厅,中楼层,34,精装,南 北,2013,124.94,融科东南海,树木岭,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108147932.html
南北双阳台，全新四房，大金空调地暖，车库直通地铁,满五唯一，南北双阳台，大金空调地暖，全新装修。,288,19941,4室2厅,低楼层,44,精装,南 北,0,144.43,北辰三角洲凤凰公元,北辰三角洲,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104108127348.html
地铁口精装大三房，一号线300米，户型周正楼层好,地铁口精装大三房，一号线300米，好楼层,120,11198,3室2厅,中楼层,14,精装,南,0,107.17,金房奥斯卡西区,省政府,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104107520521.html
满五唯一  中间栋湖景房  楼层好  视野佳  证在手,此房满五唯一，没有抵押 证在手  中间栋数  高楼层  湖景房,355,13574,5室2厅,高楼层,18,毛坯,南 北,2009,261.53,中隆国际御玺,武广新城,雨花,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108477938.html
怡海星城，此房不错，小区生活配套齐全。,怡海星城，此房不错，小区生活配套齐全。,88,6911,3室2厅,中楼层,14,毛坯,北,0,127.34,怡海星城,暮云,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108168478.html
湖景房 自住装修 保养好 基本随时可看,自住装修 保养好 湖景房 双地铁口 月湖公园 世界之窗,256,16233,4室2厅,中楼层,32,精装,南 北,0,157.71,藏珑湖上国际花园,广电,开福,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104106781801.html
清水毛胚，高性价房源，满五唯一，诚心出手。,满五唯一，采光充足，出行交通便利。,230,11500,5室1厅,下叠别墅,4,毛坯,南 北,0,200,麓山恋迪亚溪谷,含浦,岳麓,,,商品房,https://cs.lianjia.com/ershoufang/104108317346.html
单价5165   正规四房  带入户花园    带30平院子,带入户花园，带30平的院子，单价5165，诚意出售,72,4769,4室2厅,低楼层,15,毛坯,南 北,0,151,南郡明珠,暮云,天心,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104107301210.html
看河景双湾通透大五房，纯毛坯格局好，看房方便，急售,看河景双湾通透大五房，纯毛坯格局好，看房方便，急售,168,9333,5室2厅,中楼层,34,毛坯,南 北,2011,180.01,双湾国际,金霞,开福,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108248677.html
德思勤商圈，省府版块通透大三房，业主诚心出售,房子是满五唯一的，业主产权证在手，可随时过户交易。,121,9032,3室2厅,中楼层,29,简装,南,0,133.97,兴隆景苑,德思勤,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108109663.html
芙蓉南路 山水印象 精装3房 看房方便 诚心出售,芙蓉南路，小高层电梯房，居家装修，诚心出售,68,5812,3室2厅,高楼层,6,精装,南,0,117,山水印象,暮云,天心,一梯一户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104107824037.html
一线江景大户型 采光好 可看江 绿化好 交通便利,地铁一号线，一线江景大户型 采光好 可看江 绿化好 交通便利,377,21451,5室2厅,高楼层,39,毛坯,南 北,2013,175.75,北辰三角洲奥城D3区,北辰三角洲,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104107934747.html
德思勤红星商圈湘府名邸毛坯大四房单价7900入读砂子塘,户型好 南北对流 采光视野好 不靠马路 业主诚意卖,117,7422,4室2厅,高楼层,18,毛坯,南 北,2008,157.66,湘府名邸,德思勤,雨花,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104105116304.html
洋湖一线湖景    精装全屋地暖  随时看房,前排景观房，满五唯一，户型周正，方便看房。,173,12473,4室2厅,高楼层,34,精装,东南,2014,138.7,橡树湾小区,含浦,岳麓,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104107892571.html
德泽苑小区优雅清静舒服安全，环境好交通购物方便,此房满五，交通方便，有尚双塘地铁站，新路社区公园,108,7641,4室2厅,高楼层,17,毛坯,南 北,0,141.35,德泽苑,暮云,天心,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108340473.html
小区环境好，楼间距高，天心区品质高的楼盘之一,小区环境好，楼间距高，天心区品质高的楼盘之一,192,14018,4室2厅,高楼层,14,毛坯,南 北,2016,136.97,鑫远尚玺苑二期,省政府,天心,两梯六户,有,商品房,https://cs.lianjia.com/ershoufang/104107678412.html
大托正地铁口 南北通透大四房 湘府英才益清 业主急售,满五不唯一的，南北通透大四房，小区环境好，次新小区，物业佳！,173,11679,4室2厅,低楼层,10,毛坯,南 北,2015,148.14,大唐印象,省政府,天心,一梯两户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104108140212.html
松雅湖畔，精装修三房，业主诚心出售,采光充足，配套实施齐，交通便利，小区环境优美宁静,105.8,7723,3室2厅,高楼层,17,精装,南,2010,137.01,松雅湖畔,松雅湖,长沙县,两梯三户,有,商品房,https://cs.lianjia.com/ershoufang/104107814980.html
房子是业主自住，装修保养好，带两个大露台。,房子是业主自住，装修保养好，带两个大露台。业主诚心卖。,82,5512,4室2厅,高楼层,8,精装,南,0,148.79,金帆小区,四方坪,开福,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104107826516.html
正地铁口，顶楼复式，采光好，视野开阔。,正地铁口，顶楼复式，采光好，视野开阔,84,10104,4室2厅,高楼层,6,毛坯,南 北,2001,83.14,东方新城,德政园,芙蓉,一梯两户,无,商品房,https://cs.lianjia.com/ershoufang/104107209886.html
南北通透，中间位置，中高楼层，视野好,南北通透，中间位置，中高楼层，视野好,280,14515,4室2厅,高楼层,14,精装,南 北,2010,192.91,长沙奥林匹克花园,德思勤,天心,一梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108247043.html
幸福考拉 3室1厅 南,链家网真房源，更多房源信息请联系经纪人,108,10265,3室1厅,高楼层,8,其他,南,2012,105.22,幸福考拉,金霞,开福,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104108503934.html
一线江景大平层 正对橘子洲 业主诚心出售,客厅每间卧室都看江，清水毛坯，一线江景大平层，置换流程,550,29743,4室2厅,高楼层,30,毛坯,南 西,2014,184.92,中建江山壹号,黄土岭,天心,一梯三户,暂无数据,商品房,https://cs.lianjia.com/ershoufang/104106949363.html
德思勤旁毛坯 带露台空调新风 有钥匙随时看房,高品质小区 纯毛坯  视野开阔 中间栋位 带露台,168,11059,3室2厅,高楼层,14,毛坯,南 北,2010,151.92,长沙奥林匹克花园,德思勤,天心,两梯两户,有,商品房,https://cs.lianjia.com/ershoufang/104107649641.html
北辰精装四房，楼层视野佳，可省个税。,此房是北辰精装四房，契税发票满五年且唯一，省个税，视野好。,140,10603,4室2厅,中楼层,18,精装,南 北,2014,132.04,北辰中央公园,省政府,天心,两梯四户,有,商品房,https://cs.lianjia.com/ershoufang/104108342864.html
