标题,地区,户型,面积,朝向,装修,楼层,建立时间,房子类型,总价,单价,关注人数,发布时间,标签,详情页
光南街   精装修  带平台  可公积金 过5年物业,光明南路 -市桥,3室1厅 ,62.9, 南 , 精装 , 中楼层(共8层)  , 塔楼,暂无数据,120万,"19,078",6, 15天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403367702.html
过五年唯一，地铁口，小区安静舒适，管理好,假日花园 -白江,3室1厅 ,110.94, 南 , 毛坯 , 高楼层(共18层) , 2013年建 , 塔楼,235万,"21,183",10, 14天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403370112.html
时代天韵二期  四房两卫两厅 南向望湖,时代天韵 -知识城,4室2厅 ,129.65, 南 , 精装 , 中楼层(共23层) , 2018年建 , 塔楼,485万,"37,409",7, 11天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403380188.html
新上 东山口 2房朝南 全明屋 近地铁 看房方便,东华东路 -东山口,2室1厅 ,48.79, 南 西 , 其他 , 中楼层(共9层)  , 塔楼,暂无数据,220万,"45,092",10, 11天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403379679.html
省东风西 香港业主套现 南向户型 框架结构,盘福路 -盘福,2室1厅 ,53.61, 南 , 简装 , 高楼层(共8层)  , 塔楼,暂无数据,210万,"39,172",5, 8天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403388478.html
公园前地铁50米 框架结构 三面采光精装3房,中山五路 -公园前,3室1厅 ,60.25, 东南 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,245万,"40,664",59, 15天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403367946.html
广园云苑新村 电梯精装三房 厅出阳台 采光好,广园云苑新村 -景泰,3室1厅 ,66.81, 北 , 精装 , 中楼层(共9层) , 1999年建 , 塔楼,222万,"33,229",15, 11天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403379868.html
南北对流 正南向精品三房 气宇轩昂 美轮美奂岭南园林,岭南湾畔 -西村,3室1厅 ,95.69, 南 , 简装 , 中楼层(共32层) , 2010年建 , 塔楼,535万,"55,910",0, 9天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403385499.html
框架两房  南北向  精装修 随时可看,东华东路 -东山口,2室1厅 ,47.72, 南 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,220万,"46,103",6, 11天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403379755.html
边检大院 2000年原装电梯楼 东南向三房双阳台设计,边检大院 -龙口西,3室2厅 ,98.4, 东南 , 精装 , 高楼层(共9层) , 2015年建 , 塔楼,729万,"74,086",21, 11天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403380992.html
云峰花园四期  精装三房 采光好 通风好,云峰花园4期 -镜湖大道,3室1厅 ,93.21, 北 , 精装 , 中楼层(共11层) , 2012年建 , 塔楼,183万,"19,634",4, 4天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403400007.html
"中泰天境2室1厅,保养好,看房方便",中泰天境 -知识城,2室1厅 ,72.55, 北 , 其他 , 低楼层(共18层)  , 塔楼,暂无数据,145万,"19,987",4, 6天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403393401.html
雅居乐高层4房双主套，户型好.毛坯，没住过,增城雅居乐御宾府 -荔城西区,4室2厅 ,142.27, 西南 , 毛坯 , 高楼层(共32层)  , 塔楼,暂无数据,270万,"18,978",1, 7天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403389896.html
广地花园3房2厅2卫，南北对流带露台，业主急出手,广地花园 -星河湾,3室2厅 ,102.4, 南 北 , 精装 , 低楼层(共6层) , 2006年建 , 板塔结合,248万,"24,176",3, 7天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403390624.html
滨江绿园 3号线旁 精装三房两卫 楼层好 配套设施齐全,滨江绿园 -大石,3室1厅 ,91.58, 北 , 精装 , 中楼层(共6层) , 2004年建 , 板塔结合,285万,"31,121",7, 16天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403364626.html
金口岸大厦 市桥芯  繁华中  满五 电梯高层,金口岸大厦 -市桥,3室1厅 ,110.46, 东南 , 简装 , 高楼层(共22层) , 2003年建 , 塔楼,288万,"26,073",19, 14天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403369136.html
恒生花园 3室2厅 南,恒生花园 -南村,3室2厅 ,107.95, 南 , 其他 , 高楼层(共6层) , 2000年建 , 板楼,208万,"19,269",9, 11天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403379207.html
电梯直上三楼，采光好，带12平方的平台,雅怡花园 -同德围,3室1厅 ,70.94, 北 , 简装 , 低楼层(共9层) , 1998年建 , 板楼,208万,"29,321",5, 7天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403390400.html
小区联排py，看中可以谈谈，装修带家私。,逸泉山庄 -赤草,4室2厅 ,143, 东南 , 简装 , 2层 , 2006年建 , 暂无数据,269万,"18,812",4, 11天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403380613.html
越秀区 小两房 精装 证过五年 税费少 近地铁,北站路 -机场路,2室1厅 ,41.22, 南 西 , 精装 , 高楼层(共9层)  , 塔楼,暂无数据,99万,"24,018",10, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403395560.html
园林小区双地铁南向环境舒适旺中带静,晓园新村晓园新 -昌岗,3室1厅 ,58.61, 南 北 , 简装 , 低楼层(共9层) , 1990年建 , 塔楼,245万,"41,802",3, 6天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403394027.html
距离3号线市桥地铁800米，过五年，唯一.,侨基花园 -市桥,3室2厅 ,83.68, 西 , 简装 , 低楼层(共32层) , 1998年建 , 塔楼,160万,"19,121",17, 16天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403364072.html
富力桃园 中层实用两房 视野开阔景观棒,富力桃园 -罗冲围,2室1厅 ,75.2, 东北 , 精装 , 中楼层(共30层) , 2009年建 , 塔楼,294万,"39,096",37, 15天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403366960.html
蝶舞轩南向3房一楼大花园罕有放盘，中间位置望园景,祈福新村蝶舞轩 -祈福新村,3室1厅 ,84.16, 南 , 简装 , 低楼层(共6层) , 2002年建 , 板塔结合,325万,"38,617",5, 10天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403381825.html
一楼大花园 看花好心情  格局方正实用 出入方便,祈福新村青怡居 -祈福新村,2室2厅 ,60.3, 北 , 简装 , 低楼层(共5层) , 2001年建 , 板楼,185万,"30,680",6, 6天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403393246.html
正南向 南北对流 安静望花园 楼间距大 实用率高,新城海滨花园S区 -珠江新城东,3室2厅 ,137.81, 南 , 精装 , 低楼层(共18层) , 1990年建 , 塔楼,2120万,"153,835",6, 9天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403384370.html
南沙金茂湾 朝江三房 看园林看绿化,南沙金茂湾 -明珠湾,3室2厅 ,123.64, 东南 , 毛坯 , 低楼层(共25层)  , 塔楼,暂无数据,452万,"36,558",11, 4天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403400076.html
这一套房满五税少.全新没入住过.业主是朋友.可看房,碧桂园天玺湾 -进港大道,3室2厅 ,102.59, 北 , 精装 , 低楼层(共27层) , 2016年建 , 板塔结合,230万,"22,420",7, 7天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403390207.html
祈福辉煌台 北站地铁口物业 精装修 北向望花园,祈福辉煌台 -旧区,3室2厅 ,117, 东北 , 精装 , 高楼层(共28层) , 2015年建 , 塔楼,176万,"15,043",2, 11天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403378619.html
电梯一房，户型格局方正，通风对流。,芳华苑 -芳村,1室1厅 ,29.87, 南 , 简装 , 中楼层(共9层) , 1999年建 , 塔楼,90万,"30,131",12, 7天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403390274.html
大德路 满族 低层2房 精装修,大德路 -解放南,2室1厅 ,33.35, 东北 , 其他 , 中楼层(共9层) , 1993年建 , 塔楼,139万,"41,680",3, 6天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403392242.html
五羊E区 南向二房 间隔方正 通风采光好,五羊小区 -五羊新城,2室1厅 ,60.9, 南 , 其他 , 中楼层(共9层) , 1986年建 , 塔楼,380万,"62,398",0, 5天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403396835.html
昌岗中路 低层 精装修三房  采光好,昌岗中路 -昌岗,3室1厅 ,51.75, 东 , 精装 , 中楼层(共5层)  , 塔楼,暂无数据,192万,"37,102",4, 6天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403392158.html
百合雅居  精装二房 南向 采光好 户型方正 产权清晰,百合雅居 -狮岭镇,2室1厅 ,91.57, 南 , 其他 , 中楼层(共11层) , 2010年建 , 塔楼,81万,"8,846",5, 9天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403384207.html
汇东国际花园 2室1厅 南,汇东国际花园 -白江,2室1厅 ,80, 南 , 精装 , 高楼层(共26层) , 2010年建 , 塔楼,158万,"19,750",10, 15天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403367013.html
此房户型是复式一房一厅，使用率高，大落地窗随时看房,铂林国际公寓 -珠江新城西,1室1厅 ,37.89, 南 , 精装 , 中楼层(共22层) , 2005年建 , 塔楼,226万,"59,490",5, 6天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403394105.html
康乃馨 南向安静大两房 非顶楼 满五年唯一 有钥匙,康乃馨苑 -坑口,2室1厅 ,69.15, 南 , 精装 , 高楼层(共9层) , 2000年建 , 塔楼,198万,"28,634",16, 8天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403387513.html
泰景花园 高层南向精装两房 户型好,泰景花园 -黄埔区府,2室1厅 ,70.86, 南 , 精装 , 高楼层(共8层) , 2006年建 , 塔楼,248万,"34,915",4, 9天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403384186.html
富力广场S区 厅出阳台 南向户型方正 有平台使用,富力广场S区 -中山八,3室1厅 ,127.76, 南 , 精装 , 低楼层(共18层) , 2005年建 , 塔楼,788万,"61,679",6, 15天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403366457.html
天立精致三房 可拎包入住 东南向三房,天立大厦 -龙口东,3室1厅 ,97.5, 东南 , 精装 , 中楼层(共29层) , 1993年建 , 板楼,650万,"66,667",7, 8天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403388564.html
cbd板块，座南向北，即可入住。,骏威锦东花园B区 -新区,3室2厅 ,155.2, 南 北 , 精装 , 18层 , 2010年建 , 塔楼,355万,"22,874",5, 8天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403388652.html
泰景花园 南向精装两房 看房方便,泰景花园 -黄埔区府,2室1厅 ,70.81, 南 , 精装 , 高楼层(共8层) , 2006年建 , 塔楼,248万,"34,915",11, 9天以前发布,近地铁-VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403384177.html
云山诗意 南向 高楼层看花园 视野好 户型方正实用,云山诗意 -黄边,3室3厅 ,104.31, 东南 , 其他 , 高楼层(共18层) , 2008年建 , 塔楼,500万,"47,935",4, 11天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403380103.html
低层全明三房 东南北单边位 随时看房,东华西路 -东川路,3室2厅 ,98.79, 东 南 北 , 简装 , 低楼层(共9层) , 1990年建 , 塔楼,480万,"48,588",16, 10天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403382032.html
广园西路莲塘前街 框架结构  交通方便  随时看房,广园西路 -桂花岗,3室1厅 ,83.09, 南 , 简装 , 高楼层(共9层)  , 塔楼,暂无数据,148万,"17,813",8, 8天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403387545.html
西增路 2室2厅 南 北,西增路 -西村,2室2厅 ,67.02, 南 北 , 精装 , 中楼层(共9层)  , 塔楼,暂无数据,199万,"29,693",1, 6天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403394249.html
入门级好房！鸟语花香公园旁，大厅大房好楼层,桂花岗 -桂花岗,2室1厅 ,55.95, 东 西 北 , 简装 , 中楼层(共9层)  , 塔楼,暂无数据,108万,"19,303",60, 15天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403368403.html
此房装修精致，安静舒适，户型方正，光线充足,尚品雅居领秀 -秀全街,3室1厅 ,122.94, 南 , 精装 , 中楼层(共18层) , 2014年建 , 塔楼,167万,"13,584",15, 15天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403368127.html
黄埔中新广州知识城绿地城。。。,广州绿地城 -知识城,3室1厅 ,93.06, 南 , 精装 , 中楼层(共30层) , 2017年建 , 板塔结合,301万,"32,345",1, 15天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403368453.html
东荟城 精装望花园2房 无欠款户口不占用 随时交易,万科东荟城 -香雪,2室1厅 ,69.93, 北 , 精装 , 低楼层(共28层)  , 塔楼,暂无数据,290万,"41,471",5, 4天以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403399491.html
海运小区小户型房源，采光景观好。,海运小区 -五羊新城,2室1厅 ,57.59, 东 , 简装 , 高楼层(共26层) , 1996年建 , 塔楼,408万,"70,846",0, 2天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403406504.html
富力半岛花园  户型方正  产权清晰  房子满五年,富力半岛花园 -罗冲围,2室1厅 ,65.67, 西北 , 简装 , 27层 , 2002年建 , 塔楼,258万,"39,288",20, 12天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403376045.html
大院管理 格局方正，格局好 大阳台,钱路头直街2号大院 -农讲所,3室2厅 ,76.9, 南 北 , 其他 , 中楼层(共8层)  , 板楼,暂无数据,428万,"55,657",3, 12天以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403377803.html
中山七路  电梯加装中 看房方便 陈家祠旁 楼龄新,中山七路 -龙津,3室1厅 ,57.7, 东南 东 , 简装 , 低楼层(共9层)  , 暂无数据,暂无数据,227万,"39,342",7, 10天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403381666.html
好房优选，精装3房2卫，满五年唯一，税费少，方正实用,万科峯境 -白云大道南,3室2厅 ,91.78, 北 , 其他 , 中楼层(共7层) , 2014年建 , 塔楼,506万,"55,132",7, 9天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403385990.html
尚品雅居悦庭 3室2厅 北,尚品雅居悦庭 -秀全街,3室2厅 ,103.55, 北 , 毛坯 , 高楼层(共18层) , 2018年建 , 暂无数据,135万,"13,038",1, 6天以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403393549.html
新塘地铁口满五唯一，无欠款，房产清晰，近地铁,亚太新城富丽园 -新塘北,3室2厅 ,80.99, 南 北 , 简装 , 中楼层(共7层) , 2003年建 , 塔楼,128万,"15,805",12, 12天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403374773.html
花园社区  电梯高层 东南向 采光视野好,侨爱苑 -机场路,2室1厅 ,72.45, 东南 , 简装 , 高楼层(共9层) , 1995年建 , 塔楼,215万,"29,676",4, 10天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403382132.html
第二金碧 户型方正厅出阳台 满五年唯一 看房有钥匙,金碧花园第二金碧 -金碧,3室1厅 ,81.43, 北 , 简装 , 中楼层(共33层) , 2000年建 , 塔楼,373万,"45,807",7, 3天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403403157.html
三期 08年楼龄  南向三房 一线江景 诚心卖,金碧花园第三金碧 -金碧,3室2厅 ,115.82, 南 , 精装 , 高楼层(共26层) , 2005年建 , 塔楼,618万,"53,359",16, 9天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403385757.html
户型方正，三房带主套，厅出阳台，风景优美,银建小区 -周门,3室2厅 ,65.31, 南 北 , 精装 , 中楼层(共8层) , 1999年建 , 塔楼,238万,"36,442",18, 14天以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403369810.html
聚德花园 带天台花园 南向有钥匙两房随时看房,聚德花园 -赤岗,2室2厅 ,60.5, 东南 , 精装 , 高楼层(共9层) , 1997年建 , 塔楼,240万,"39,670",6, 4天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403398933.html
公园前 六榕路 独栋私房 七字单边 朝小 业主诚意出*,广德路 -公园前,3室1厅 ,35.4, 南 北 , 简装 , 低楼层(共1层)  , 板楼,暂无数据,225万,"63,560",30, 一年前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108401902693.html
高楼层三房两卫保养好位置安静视野开阔,碧桂园凤凰城凤馨苑 -凤凰城,3室2厅 ,92.99, 北 , 简装 , 高楼层(共18层) , 2002年建 , 塔楼,170万,"18,282",2, 9天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403384301.html
金碧一期 花园中间 中层洋房 过五年唯一 看房方便,金碧花园第一金碧 -金碧,2室2厅 ,67.74, 西 , 其他 , 中楼层(共22层) , 2000年建 , 塔楼,269万,"39,711",20, 14天以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403370390.html
"楼层好,采光好视野宽阔,满五,格局方正,配套齐全",锦绣生态园 -钟村,3室2厅 ,92.6, 南 , 简装 , 高楼层(共6层) , 2004年建 , 塔楼,218万,"23,543",4, 9天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403384046.html
此房满五唯一 税费少  格局方正  采光通透  实用率高,尚东尚筑 -番禺客运站,3室1厅 ,90.7, 南 , 精装 , 低楼层(共18层) , 2008年建 , 塔楼,340万,"37,487",8, 11天以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403378793.html
业主诚心放卖，单边位无遮挡东南向，电梯望江三房....,黄埔花园 -黄埔区府,3室1厅 ,90.81, 东南 , 简装 , 低楼层(共24层) , 2012年建 , 塔楼,352万,"38,662",11, 12天以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403376408.html
永和金地荔湖城公园上城别墅精装保养良好,金地荔湖城公园上城 -永和,4室3厅 ,178.76, 南 , 精装 , 3层 , 2014年建 , 暂无数据 ,399.2万,"22,332",26, 1个月以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403266600.html
嘉仕花园 精装修三房 实用率高 通透对流,嘉仕花园西区 -滨江东,3室2厅 ,74.1, 西 , 精装 , 低楼层(共9层) , 2003年建 , 塔楼,380万,"51,283",97, 1个月以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403236949.html
豪进山湖珺璟 5室2厅 东南,豪进山湖珺璟 -白江,5室2厅 ,188.3, 东南 , 毛坯 , 低楼层(共31层) , 2011年建 , 塔楼,375万,"19,916",10, 1个月以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403311724.html
金地荔湖城花园中间三层带装修叠墅,金地荔湖城 -永和,5室3厅 ,183.19, 东北 , 简装 , 低楼层(共5层)  , 塔楼,暂无数据,308万,"16,814",11, 3个月以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403065063.html
学府名郡    南向三房    采光通风好户型方正,合汇学府名郡 -白江,3室2厅 ,123.03, 南 , 精装 , 高楼层(共32层) , 2017年建 , 塔楼,220万,"17,882",4, 3个月以前发布,近地铁-VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403124855.html
高层精装大5房 三面采光 东南望珠江 西北望花城广场,天銮 -珠江新城中,5室2厅 ,235.58, 东南 , 精装 , 高楼层(共47层) , 2013年建 , 塔楼,4390万,"186,349",73, 7个月以前发布,近地铁-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108402721921.html
21号线凤岗站地铁口快线，中楼层四房南向望河景,碧桂园城市花园漫绿苑 -朱村,4室2厅 ,138.61, 南 , 精装 , 中楼层(共25层) , 2018年建 , 板塔结合,225万,"16,233",24, 4个月以前发布,VR看装修-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403002975.html
金地香山湖，前排看湖大4房，中高层，无遮挡,金地香山湖 -永和,4室2厅 ,138.6, 南 北 , 毛坯 , 高楼层(共32层) , 2016年建 , 塔楼,170万,"12,266",9, 1个月以前发布,VR房源-房本满两年-随时看房,https://gz.lianjia.com/ershoufang/108403311250.html
南北对流，离地铁口，交通方便，,逸泉山庄 -赤草,4室2厅 ,146.31, 南 , 精装 , 低楼层(共7层)  , 塔楼,暂无数据,170万,"11,620",37, 一年前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108400578331.html
满五唯一，碧桂园稀有复式，南北对流,荔城碧桂园 -荔城西区,4室1厅 ,166.4, 南 北 , 精装 , 高楼层(共6层) , 2008年建 , 板楼,190万,"11,419",57, 8个月以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402627176.html
金地荔湖城 三叠院 正南向　中空大厅　边位,金地荔湖城 -永和,4室2厅 ,169.35, 南 , 精装 , 低楼层(共3层)  , 塔楼,暂无数据,276万,"16,298",31, 一年前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402129862.html
沙园地铁口 准电梯 南向全明屋 一证两套间 满五年唯一,凤凰新村 -工业大道北,4室2厅 ,120.58, 南 北 , 精装 , 中楼层(共8层) , 2000年建 , 塔楼,320万,"26,539",93, 10个月以前发布,近地铁-VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402421197.html
豪进山湖珺璟.中高楼层南向毛胚4房,豪进山湖珺璟 -白江,4室1厅 ,130.61, 南 , 毛坯 , 高楼层(共33层) , 2013年建 , 塔楼,305万,"23,352",21, 3个月以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403072440.html
金地荔湖城全新毛坯临湖叠墅诚意出,金地荔湖城 -永和,4室2厅 ,195.74, 东南 , 毛坯 , 低楼层(共3层)  , 塔楼,暂无数据,255万,"13,028",98, 4个月以前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403036935.html
满五精装修，楼层好，望花园，配套设施齐全，交通方便,东方名都 -白江,3室1厅 ,116, 东南 , 精装 , 29层 , 2013年建 , 塔楼,285万,"24,569",17, 6个月以前发布,近地铁-VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402818549.html
四房，南北对流，保养好，位置安静。,合生湖山国际 -凤凰城,4室2厅 ,143, 东南 , 精装 , 中楼层(共18层) , 2008年建 , 塔楼,265万,"18,532",17, 2个月以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108403135480.html
广州后花园流溪河畔纯别墅住宅区，有天有地有花  园,东方夏湾拿 -太平镇,5室3厅 ,259.35, 东南 , 简装 , 3层 , 2012年建 , 板塔结合 ,310万,"11,953",7, 一年前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108400455098.html
广州后花园流溪河畔纯别墅住宅区，有天有地有花  园,东方夏湾拿 -太平镇,5室3厅 ,259.35, 东南 , 简装 , 3层 , 2012年建 , 板塔结合 ,310万,"11,953",7, 一年前发布,VR房源-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108400455098.html
精装大四房，满五年，保养好，阳台田园景观无遮挡，,翡翠绿洲森林半岛 -凤凰城,4室2厅 ,187.69, 东 , 精装 , 中楼层(共24层) , 2011年建 , 塔楼,311万,"16,570",52, 5个月以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402899742.html
广州海伦堡南岗广场傍跃式四房满五 精装修 17500不到,广州海伦堡 -沙村,4室2厅 ,132.22, 南 , 精装 , 低楼层(共12层) , 2008年建 , 塔楼,230万,"17,396",20, 6个月以前发布,VR看装修-房本满五年-随时看房,https://gz.lianjia.com/ershoufang/108402829566.html
户型方正 满五 望小区花园安静,东方名都 -白江,3室1厅 ,123.17, 东南 , 精装 , 23层 , 2012年建 , 塔楼,285万,"23,139",7, 7天以前发布,近地铁-VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403390043.html
小区中间位置，户型方正实用。产权清晰，随时交易。,祈福水城 -沙湾,3室2厅 ,89.03, 北 , 精装 , 中楼层(共11层) , 2008年建 , 塔楼,238万,"26,733",8, 8天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403387072.html
原小北 省府大院 条形砖外墙 满五唯一 加装电梯 南北,小北路 -小北,3室2厅 ,83.85, 东北 , 精装 , 中楼层(共8层)  , 塔楼,暂无数据,654万,"77,997",6, 7天以前发布,VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403391485.html
兴隆社区 低层两房 户型方正 安静小区 东风西,百灵路 -西门口,2室1厅 ,46.41, 东 北 , 其他 , 中楼层(共5层)  , 塔楼,暂无数据,221万,"47,620",1, 6天以前发布,近地铁-VR看装修-房本满五年,https://gz.lianjia.com/ershoufang/108403393330.html
广州碧桂园华苑 少有一楼带75方花园 精装修 位置好,广州碧桂园华苑 -南浦,3室2厅 ,102.5, 西北 , 精装 , 低楼层(共7层) , 1998年建 , 塔楼,400万,"39,025",3, 8天以前发布,近地铁-VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403387745.html
恒大物业，经典三房，精装修新净,恒大山水郡 -中新镇,3室2厅 ,87.82, 南 , 其他 , 低楼层(共26层) , 2018年建 , 塔楼,110万,"12,526",4, 7天以前发布,VR房源-房本满两年,https://gz.lianjia.com/ershoufang/108403390926.html
海珠北路 2室1厅 东,海珠北路 -西门口,2室1厅 ,68.63, 东 , 其他 , 高楼层(共8层) , 1992年建 , 塔楼,230万,"33,514",4, 7天以前发布,近地铁-VR看装修-房本满两年,https://gz.lianjia.com/ershoufang/108403391640.html
精装二期 南向少有放卖三房两厅两卫，望花园中间,金穗雅园 -广州大道南,3室2厅 ,116.75, 南 , 精装 , 低楼层(共12层) , 2004年建 , 塔楼,768万,"65,782",3, 8天以前发布,VR房源-房本满五年,https://gz.lianjia.com/ershoufang/108403388041.html
